Attendee ID,Company Name,Preference

40,Canada Life,1
40,Manulife,2
40,Mercer Canada,3
40,Swiss Re,4
40,Ontario Teachers' Pension Plan,5
40,Northbridge Financial Corporation,6
40,Munich Re,7
40,Desjardins,8
40,Deloitte,9
40,CAAT Pension Plan,10
40,Foresters Financial,11
40,iA Financial Group,12
40,Milliman,13
40,Normandin Beaudry,14
40,PartnerRe,15
40,Economical Insurance,15
40,Royal and Sun Alliance (RSA),15
40,KPMG Canada,15
40,The Co-operators,15
40,Wawanesa Insurance,15
40,Echelon Insurance / CCG Group,15
40,Intact Insurance,15
40,Moody's Analytics,15
40,RSM Canada,15
622,KPMG Canada,1
622,Deloitte,2
622,Canada Life,3
622,Milliman,4
622,Manulife,5
622,Moody's Analytics,6
622,Munich Re,7
622,Economical Insurance,8
622,Intact Insurance,9
622,Desjardins,10
622,iA Financial Group,11
622,Foresters Financial,12
622,Wawanesa Insurance,13
622,RSM Canada,14
622,PartnerRe,15
622,Royal and Sun Alliance (RSA),15
622,Swiss Re,15
622,CAAT Pension Plan,15
622,The Co-operators,15
622,Mercer Canada,15
622,Echelon Insurance / CCG Group,15
622,Normandin Beaudry,15
622,Northbridge Financial Corporation,15
622,Ontario Teachers' Pension Plan,15
321,Royal and Sun Alliance (RSA),1
321,Deloitte,2
321,KPMG Canada,3
321,Swiss Re,15
321,PartnerRe,15
321,CAAT Pension Plan,15
321,Milliman,15
321,The Co-operators,15
321,Mercer Canada,15
321,Desjardins,15
321,Normandin Beaudry,15
321,Munich Re,15
321,Intact Insurance,15
321,Northbridge Financial Corporation,15
321,RSM Canada,15
321,Ontario Teachers' Pension Plan,15
321,Economical Insurance,15
321,iA Financial Group,15
321,Foresters Financial,15
321,Wawanesa Insurance,15
321,Manulife,15
321,Echelon Insurance / CCG Group,15
321,Canada Life,15
321,Moody's Analytics,15
91,Munich Re,1
91,Economical Insurance,2
91,Desjardins,3
91,KPMG Canada,4
91,Deloitte,5
91,Canada Life,6
91,Manulife,7
91,Mercer Canada,8
91,Normandin Beaudry,9
