Room Name,Interview Length,Start,End

Canada Life-1,20,2021-07-06T09:00:00,2021-07-06T18:00:00

Canada Life-2,20,2021-07-06T09:00:00,2021-07-06T18:00:00

CAAT Pension Plan-1,30,2021-07-06T09:00:00,2021-07-06T18:00:00

Deloitte-1,30,2021-07-06T09:00:00,2021-07-07T18:00:00

Desjardins-1,45,2021-07-06T09:00:00,2021-07-06T18:00:00

Desjardins-2,45,2021-07-06T09:00:00,2021-07-06T18:00:00

Echelon Insurance / CCG Group-1,45,2021-07-06T09:00:00,2021-07-06T18:00:00

Economical Insurance-1,60,2021-07-06T09:00:00,2021-07-06T18:00:00

Economical Insurance-2,30,2021-07-06T09:00:00,2021-07-06T18:00:00

Economical Insurance-3,60,2021-07-06T09:00:00,2021-07-06T18:00:00

Foresters Financial-1,40,2021-07-06T09:00:00,2021-07-06T18:00:00

iA Financial Group-1,40,2021-07-06T09:00:00,2021-07-06T18:00:00

Intact Insurance-1,45,2021-07-06T09:00:00,2021-07-06T18:00:00

Intact Insurance-2,45,2021-07-06T09:00:00,2021-07-07T18:00:00

KPMG Canada-1,30,2021-07-06T09:00:00,2021-07-06T18:00:00

KPMG Canada-2,30,2021-07-06T09:00:00,2021-07-06T18:00:00

KPMG Canada-3,30,2021-07-06T09:00:00,2021-07-06T18:00:00

Mercer Canada-1,30,2021-07-06T09:00:00,2021-07-06T18:00:00

Milliman-1,60,2021-07-06T09:00:00,2021-07-07T18:00:00

Manulife-1,30,2021-07-06T09:00:00,2021-07-06T18:00:00

Manulife-2,30,2021-07-06T09:00:00,2021-07-06T18:00:00

Manulife-3,30,2021-07-06T09:00:00,2021-07-06T18:00:00

Manulife-4,30,2021-07-06T09:00:00,2021-07-06T18:00:00

Manulife-5,30,2021-07-06T09:00:00,2021-07-06T18:00:00

Munich Re-1,30,2021-07-06T09:00:00,2021-07-06T18:00:00

Munich Re-2,30,2021-07-06T09:00:00,2021-07-06T18:00:00

Munich Re-3,30,2021-07-06T09:00:00,2021-07-06T18:00:00

Munich Re-4,30,2021-07-06T09:00:00,2021-07-06T18:00:00

Moody's Analytics-1,45,2021-07-06T09:00:00,2021-07-07T18:00:00

Northbridge Financial Corporation-1,30,2021-07-06T09:00:00,2021-07-06T18:00:00

Normandin Beaudry-1,40,2021-07-06T09:00:00,2021-07-06T18:00:00

Ontario Teachers' Pension Plan-1,30,2021-07-06T09:00:00,2021-07-06T18:00:00

PartnerRe-1,30,2021-07-06T09:00:00,2021-07-06T18:00:00

Royal and Sun Alliance (RSA)-1,30,2021-07-06T09:00:00,2021-07-06T18:00:00

Royal and Sun Alliance (RSA)-2,30,2021-07-06T09:00:00,2021-07-06T18:00:00

RSM Canada-1,45,2021-07-06T09:00:00,2021-07-07T18:00:00

Swiss Re-1,30,2021-07-06T09:00:00,2021-07-06T18:00:00

Swiss Re-2,30,2021-07-06T09:00:00,2021-07-06T18:00:00

The Co-operators-1,30,2021-07-06T09:00:00,2021-07-06T18:00:00

Wawanesa Insurance-1,45,2021-07-06T09:00:00,2021-07-06T18:00:00

Wawanesa Insurance-2,30,2021-07-06T09:00:00,2021-07-06T18:00:00

Wawanesa Insurance-3,60,2021-07-06T09:00:00,2021-07-06T18:00:00
